hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458087.67159,bf,V,14.019,0.02406,9.465,0.209
2457958.91493,bf,V,13.561,0.02192,14.434,0.291
2457780.58239,bf,V,14.025,0.0241,9.421,0.209
2457740.78501,bf,V,14.051,0.02432,9.196,0.206
2457439.67402,bf,V,13.996,0.02388,9.668,0.212
2457376.84099,bf,V,14.02,0.02406,9.46,0.209
2457150.45044,bf,V,13.67,0.02216,13.06,0.266
2456975.67933,bf,V,14.044,0.02426,9.256,0.207
2456948.7589,bf,V,14.022,0.02408,9.446,0.209
2456918.78669,bf,V,13.995,0.02387,9.685,0.213
2458079.58834,bf,V,14.065,0.02444,9.074,0.204
2457848.55087,bf,V,13.887,0.02314,10.694,0.228
2457843.55481,bf,V,14.035,0.02418,9.333,0.208
2457398.75314,bf,V,13.573,0.02194,14.285,0.288
2457111.55846,bf,V,14.092,0.02467,8.852,0.201
2457444.66196,bf,V,13.482,0.02185,15.53,0.312
2457374.73491,bf,V,14.046,0.02427,9.24,0.206
2458345.87561,bf,V,14.065,0.02444,9.078,0.204
2458003.80758,bf,V,13.456,0.02185,15.911,0.32
2457966.90547,bf,V,14.031,0.02415,9.368,0.208
2457389.62465,bf,V,14.008,0.02397,9.569,0.211
2457129.50785,bf,V,14.01,0.02398,9.552,0.211
2456980.76908,bf,V,14.039,0.02422,9.297,0.207
2458377.78801,bf,V,13.982,0.02377,9.801,0.214
2457985.85499,bf,V,13.851,0.02293,11.051,0.233
2457013.72068,bf,V,13.917,0.02332,10.406,0.223
2456983.59571,bf,V,13.29,0.02207,18.526,0.376
2456974.76452,bf,V,13.667,0.02215,13.096,0.267
2456943.76821,bf,V,13.979,0.02375,9.825,0.215
2456858.92602,bf,V,14.042,0.02424,9.268,0.207
2457768.70846,bf,V,14.14,0.02512,8.471,0.196
2457402.74644,bf,V,14.04,0.02423,9.285,0.207
2457258.83027,bf,V,13.511,0.02186,15.118,0.304
2457130.50872,bf,V,14.014,0.02402,9.517,0.21
2456959.74306,bf,V,14.113,0.02487,8.682,0.199
2457803.60833,bf,V,13.852,0.02293,11.045,0.233
2457721.70538,bf,V,14.023,0.02409,9.432,0.209
2457384.69226,bf,V,13.868,0.02302,10.881,0.23
2458108.77813,bf,V,13.932,0.02342,10.263,0.221
2458104.82536,bf,V,14.068,0.02446,9.054,0.204
2458086.78824,bf,V,14.173,0.02545,8.22,0.192
2457870.48249,bf,V,14.187,0.0256,8.113,0.191
