,t,Flux,Flux_error
1383,1546.3025501345628,189819.72,49.228214
1384,1546.303939038248,189937.81,49.226448
1385,1546.3053279414669,189975.8,49.237213
1386,1546.3067168451514,189878.52,49.228737
1387,1546.3081057488366,189809.9,49.218582
1388,1546.3094946520569,189924.2,49.215122
1389,1546.310883555742,189852.69,49.230774
1390,1546.3122724594273,189838.9,49.223103
1391,1546.3136613626468,189900.73,49.222946
1392,1546.3150502663314,189924.39,49.23285
1393,1546.3164391700163,189917.86,49.24653
1394,1546.3178280732366,189947.16,49.23468
1395,1546.3192169769218,189812.1,49.20616
1396,1546.3206058801406,189858.12,49.229782
1397,1546.3219947838252,189804.61,49.233578
1398,1546.3233836875104,189948.9,49.197964
1399,1546.3247725907306,189985.12,49.245983
1400,1546.3261614944158,189776.47,49.204376
1401,1546.3275503976354,189800.25,49.21885
1402,1546.3289393013206,189785.36,49.21446
1403,1546.330328205005,189819.47,49.24328
1404,1546.3317171082238,189809.17,49.223057
1405,1546.3331060119096,189889.97,49.21706
1406,1546.3344949151299,189852.19,49.23354
1407,1546.3358838188144,189845.83,49.248405
1408,1546.3372727220333,189768.75,49.236214
1409,1546.3386616257185,189883.62,49.229866
1410,1546.340050528938,189894.66,49.21999
1411,1546.3414394326232,189889.44,49.225876
1412,1546.3428283358435,189798.02,49.215656
1413,1546.3442172395287,189882.42,49.23367
1414,1546.3456061427476,189947.38,49.22444
1415,1546.3469950464319,189786.53,49.222885
1416,1546.348383949652,189901.03,49.250187
1417,1546.349772853338,189804.73,49.219666
1418,1546.3511617565568,189763.77,49.21068
1419,1546.3525506602414,189831.08,49.194237
1420,1546.353939563461,189849.25,49.227184
1421,1546.3553284666805,189859.77,49.242493
1422,1546.3567173703657,189936.0,49.229836
1423,1546.358106273586,189920.25,49.23179
1424,1546.3594951772711,189809.3,49.229362
1425,1546.3608840804898,189804.66,49.235153
1426,1546.3622729841743,190135.14,49.260857
1427,1546.3636618873938,189997.47,49.254982
1428,1546.365050790614,189820.06,49.22457
1429,1546.3664396942993,189825.08,49.24001
1430,1546.3678285975182,189812.1,49.219666
1431,1546.3692175007377,189879.02,49.259865
1432,1546.370606404423,189710.64,49.21969
1433,1546.3719953076418,189852.12,49.24857
1434,1546.373384210862,189945.1,49.26004
1435,1546.374773114548,189779.36,49.208588
1436,1546.3761620177665,189832.4,49.216953
1437,1546.3775509209854,189839.19,49.23454
1438,1546.3789398246706,189808.8,49.24131
1439,1546.3803287278902,189782.89,49.23428
1440,1546.3817176311097,189850.6,49.243504
1441,1546.3928288577965,189934.58,49.237236
1442,1546.3942177614817,189765.58,49.2289
1443,1546.3956066647013,189707.42,49.21756
1444,1546.3969955679208,189742.52,49.20802
1445,1546.3983844711404,189744.92,49.236828
1446,1546.39977337436,189759.72,49.2257
1447,1546.4011622780451,189798.8,49.239407
1448,1546.402551181264,189768.03,49.20607
1449,1546.4039400844833,189848.5,49.248714
1450,1546.4053289877036,189740.52,49.243088
1451,1546.4067178909231,189655.94,49.215714
1452,1546.4081067946076,189766.61,49.215286
1453,1546.4094956978272,189869.47,49.244976
1454,1546.4108846010467,189807.53,49.239273
1455,1546.4122735042656,189729.86,49.223923
1456,1546.4136624074852,189878.6,49.227818
1457,1546.4150513107054,189844.98,49.22153
1458,1546.416440213925,189908.03,49.20348
1459,1546.4178291171438,189708.97,49.215107
1460,1546.419218020829,189746.0,49.207634
1461,1546.420606924049,189741.61,49.228275
1462,1546.4219958272686,189838.97,49.24079
1463,1546.4233847304874,189844.34,49.232243
1464,1546.424773633707,189840.28,49.242065
1465,1546.4261625369265,189925.72,49.25004
1466,1546.4275514401454,189940.12,49.259514
1467,1546.4289403433656,189798.56,49.223606
1468,1546.4303292465859,189902.6,49.23859
1469,1546.4317181498047,189858.48,49.24533
1470,1546.4331070530236,189759.06,49.212822
1471,1546.434495956243,189855.16,49.240364
1472,1546.4358848594625,189849.56,49.23996
1473,1546.437273762682,189662.55,49.21256
1474,1546.4386626659016,189838.89,49.236656
1475,1546.4400515691211,189928.11,49.25029
1476,1546.4414404723407,189735.62,49.195694
1477,1546.4428293755595,189786.81,49.22591
1478,1546.444218278779,189721.55,49.1956
1479,1546.4456071819993,189807.16,49.21087
1480,1546.4469960852189,189780.58,49.232487
1481,1546.4483849884375,189901.14,49.2401
1482,1546.449773891657,189810.23,49.226494
1483,1546.4511627948766,189786.05,49.220676
1484,1546.4525516980955,189769.34,49.226658
1485,1546.453940601315,189902.53,49.20967
1486,1546.4553295040696,189846.31,49.20296
1487,1546.4567184072891,189881.9,49.230392
1488,1546.458107310508,189872.95,49.212143
1489,1546.4594962137276,189869.36,49.227257
1490,1546.4608851169478,189853.45,49.235233
1491,1546.4622740201673,189650.5,49.179657
1492,1546.4636629233862,189955.95,49.229473
1493,1546.4650518266055,189793.69,49.226692
1494,1546.4664407293594,189778.84,49.222027
1495,1546.4678296325783,189914.28,49.255997
1496,1546.4692185357978,189827.89,49.220425
1497,1546.470607439018,189865.06,49.245457
1498,1546.4719963422376,189804.67,49.257774
1499,1546.4733852454565,189815.39,49.23242
1500,1546.4747741482104,189764.69,49.237175
1501,1546.47616305143,189816.81,49.230217
1502,1546.4775519546495,189844.38,49.25028
1503,1546.4789408578688,189892.1,49.244812
1504,1546.4803297606227,189785.12,49.228413
1505,1546.4817186638422,189841.19,49.233715
1506,1546.483107567061,189822.98,49.23727
1507,1546.48449647028,189876.27,49.230198
1508,1546.4858853735002,189914.55,49.216034
1509,1546.4872742762548,189713.42,49.215427
1510,1546.4886631794736,189691.42,49.204914
1511,1546.4900520826932,189793.4,49.230038
1512,1546.491440985447,189746.28,49.216736
1513,1546.492829888666,189822.64,49.236423
1514,1546.4942187918853,189792.7,49.235226
1515,1546.4956076951055,189790.16,49.236458
1516,1546.4969965978594,189754.62,49.1999
1517,1546.4983855010782,189976.23,49.252464
1518,1546.499774404297,189827.48,49.229237
1519,1546.5011633070517,189891.58,49.23959
1520,1546.502552210272,189854.94,49.246613
1521,1546.5039411130251,189748.4,49.23789
1522,1546.5053300162447,189675.89,49.212406
1523,1546.5067189194642,189712.5,49.22635
1524,1546.5081078222172,189756.44,49.221966
1525,1546.5094967254367,189761.97,49.232952
1526,1546.510885628657,189820.75,49.233208
1527,1546.5122745314109,189808.88,49.226944
1528,1546.5136634346297,189764.92,49.230896
1529,1546.515052337383,189758.56,49.245667
1530,1546.5164412406025,189788.17,49.238987
1531,1546.5178301438227,189827.4,49.236717
1532,1546.5192190465766,189768.98,49.227062
1533,1546.5206079497962,189815.28,49.241375
1534,1546.52199685255,189811.1,49.231594
1535,1546.5233857557687,189762.06,49.224205
1536,1546.524774658522,189780.83,49.23672
1537,1546.5261635617421,189911.27,49.258907
1538,1546.5275524644967,189788.11,49.227516
1539,1546.5289413677156,189758.52,49.220325
1540,1546.5303302704694,189824.4,49.248154
1541,1546.531719173689,189710.2,49.23128
1542,1546.5331080764422,189767.64,49.221413
1543,1546.5344969796618,189730.84,49.21259
1544,1546.5358858824163,189796.89,49.23657
1545,1546.5372747856356,189790.31,49.222603
1546,1546.5386636883889,189772.81,49.22194
1547,1546.5400525916077,189848.73,49.234344
1548,1546.5414414943623,189804.05,49.22567
1549,1546.5428303975825,189758.31,49.213516
1550,1546.5442193003357,189766.88,49.230354
1551,1546.5456082030896,189866.88,49.2463
1552,1546.5469971063092,189821.5,49.258175
1553,1546.5483860090624,189767.31,49.22699
1554,1546.549774912282,189730.11,49.221813
1555,1546.5511638150365,189854.9,49.21791
1556,1546.5525527177904,189835.81,49.238125
1557,1546.553941621009,189812.55,49.237293
1558,1546.5553305237622,189877.53,49.25826
1559,1546.5567194269818,189776.66,49.193985
1560,1546.5581083297363,189821.8,49.222633
1561,1546.5594972324902,190130.83,49.2519
1562,1546.5608861357098,189790.67,49.208042
1563,1546.5622750384637,189873.98,49.223694
1564,1546.5636639412169,189748.05,49.223892
1565,1546.5650528444357,189825.17,49.235447
1566,1546.5664417471903,189842.9,49.24473
1567,1546.5678306499447,189883.84,49.251892
1568,1546.5692195531635,189804.97,49.232662
1569,1546.5706084559167,189804.39,49.258354
1570,1546.5719973586706,189680.23,49.205788
1571,1546.5733862614245,189839.28,49.247562
1572,1546.574775164644,189957.88,49.228695
1573,1546.5761640673986,189731.94,49.237984
1574,1546.5775529701525,189873.44,49.20943
1575,1546.5789418729057,189812.67,49.23107
1576,1546.5803307761246,189746.7,49.22109
1577,1546.5817196788792,189805.56,49.237637
1578,1546.5831085816337,189871.38,49.237946
1579,1546.5844974843867,189755.03,49.2162
1580,1546.5858863876056,189809.48,49.228424
1581,1546.5872752903595,189808.02,49.228096
1582,1546.5886641931133,189709.6,49.21149
1583,1546.5900530958672,189871.73,49.224174
1584,1546.5914419986218,189797.56,49.233418
1585,1546.5928309013757,189785.48,49.223717
1586,1546.5942198045946,189978.98,49.265457
1587,1546.5956087073475,190034.17,49.260483
1588,1546.5969976101014,189877.9,49.233074
1589,1546.598386512856,189897.98,49.20802
1590,1546.5997754156099,189791.33,49.20688
1591,1546.601164318363,189755.75,49.230946
1592,1546.602553221117,189786.23,49.246056
1593,1546.6039421243365,189830.52,49.207848
1594,1546.6053310270897,189803.66,49.215065
1595,1546.6067199298443,189897.95,49.248123
1596,1546.6081088325989,189830.95,49.22703
1597,1546.609497735352,190060.0,49.25833
1598,1546.6108866381053,189811.19,49.2358
1599,1546.612275540859,189947.62,49.263412
1600,1546.6136644436128,189803.14,49.211918
1601,1546.6150533463667,189754.75,49.23042
1602,1546.6164422491206,189853.62,49.24675
1603,1546.6178311518745,189785.02,49.23027
1604,1546.6192200546284,189801.5,49.239895
1605,1546.6206089573816,189864.14,49.251724
1606,1546.6219978601362,189863.05,49.240154
1607,1546.6233867628907,189870.08,49.249268
1608,1546.624775665644,189824.89,49.238842
1609,1546.626164568397,189820.08,49.22992
1610,1546.6275534711508,189850.42,49.244717
1611,1546.6289423739047,189900.89,49.23835
1612,1546.6303312766586,189845.22,49.241875
1613,1546.6317201794125,189732.11,49.21203
1614,1546.6331090821664,189865.83,49.232132
1615,1546.6344979849202,189797.52,49.22511
1616,1546.6358868876735,189675.08,49.218983
1617,1546.6372757904273,189813.78,49.208523
1618,1546.638664693182,189825.78,49.198334
